Rinsed degree sequences from file /home/harrisonw/betti/code/cppCode/burnfiles/c7/huge_output_parsed.txt
{0,1,2,3,4,5,6,7}
{0,1,2,3,4,5,7,8}
{0,1,2,3,5,6,7,8}
{0,1,3,4,5,6,7,8}
{0,1,2,3,4,5,8,9}
{0,1,2,3,4,5,9,10}
{0,1,2,3,4,7,8,9}
{0,1,2,3,4,7,9,10}
{0,1,2,3,4,8,9,10}
{0,1,2,3,7,8,9,10}
{0,1,2,4,5,7,8,9}
{0,1,2,5,6,7,8,9}
{0,1,2,6,7,8,9,10}
{0,1,3,4,6,7,9,10}
{0,1,3,6,7,8,9,10}
{0,1,4,5,6,7,8,9}
{0,1,5,6,7,8,9,10}
{0,1,2,3,4,9,10,11}
{0,1,2,3,8,9,10,11}
{0,1,2,3,8,10,11,12}
{0,1,2,4,5,9,11,12}
{0,1,2,4,9,10,11,12}
{0,1,2,7,8,9,10,11}
{0,1,3,7,8,10,11,12}
{0,1,7,8,9,10,11,12}
{0,2,3,4,5,7,10,12}
{0,2,5,7,8,9,10,12}
{0,1,3,10,11,12,13,14}
{0,1,4,5,6,8,13,14}
{0,1,6,8,9,10,13,14}
{0,2,3,5,9,11,12,14}
{0,2,5,6,8,9,12,14}
{0,1,2,3,4,13,14,15}
{0,1,2,3,13,14,15,16}
{0,1,2,4,11,13,14,15}
{0,1,2,7,8,9,14,15}
{0,1,2,7,9,14,15,16}
{0,1,2,11,12,13,14,15}
{0,1,4,11,12,13,14,15}
{0,1,6,7,8,13,14,15}
{0,1,6,7,9,10,15,16}
{0,1,9,10,13,14,15,16}
{0,1,10,11,12,13,14,15}
{0,2,3,5,6,7,13,16}
{0,2,9,11,12,13,14,15}
{0,3,9,10,11,13,14,16}
{0,3,10,11,13,14,15,16}
{0,1,2,8,10,16,17,18}
{0,1,13,14,15,16,17,18}
{0,2,3,5,7,11,16,18}
{0,2,7,11,13,15,16,18}
{0,2,11,13,14,15,16,18}
{0,1,2,17,18,19,20,21}
{0,2,3,17,18,19,20,21}
{0,2,7,9,13,15,20,22}
{0,2,16,17,18,19,20,21}
{0,4,6,7,8,10,18,22}
{0,4,12,14,15,16,18,22}
{0,4,13,16,17,18,20,21}
{0,4,14,15,16,18,20,22}
{0,1,19,20,21,22,23,24}
{0,5,16,17,19,21,22,24}
{0,1,11,12,14,15,25,26}
{0,2,14,15,16,22,24,26}
{0,3,18,19,21,22,24,25}
{0,2,22,23,24,25,26,28}
{0,4,19,23,24,25,27,28}
{0,6,19,21,24,25,26,27}
{0,6,20,21,22,24,27,28}
{0,1,25,26,27,28,29,30}
{0,6,16,22,24,27,28,30}
{0,6,14,24,26,27,30,32}
{0,7,23,25,27,28,30,32}
{0,3,24,25,27,28,30,33}
{0,4,13,16,18,21,30,34}
{0,4,25,26,28,29,30,33}
{0,6,26,27,28,30,32,33}
{0,1,16,17,19,20,35,36}
{0,1,18,25,28,33,34,36}
{0,1,31,32,33,34,35,36}
{0,5,25,27,30,32,33,35}
{0,6,24,27,28,30,33,36}
{0,8,24,30,32,33,35,36}
{0,3,5,14,24,33,35,38}
{0,3,8,11,30,35,36,38}
{0,6,21,27,30,32,33,39}
{0,7,28,32,33,35,39,40}
{0,8,30,32,33,35,36,40}
{0,2,17,19,23,25,40,42}
