Bad ones for codimension c = 8 up to max degree d = 30
{0,1,21,22,23,24,28,29,30}
{0,2,4,6,8,22,26,28,30}
{0,2,4,8,22,24,26,28,30}
{0,2,4,18,22,24,26,28,30}
{0,2,14,16,22,24,26,28,30}
{0,3,6,9,12,15,24,27,30}
{0,3,6,9,12,18,21,27,30}
{0,3,6,9,12,18,24,27,30}
{0,3,6,9,12,21,24,27,30}
{0,3,6,9,15,21,24,27,30}
{0,3,6,9,18,21,24,27,30}
{0,3,6,12,18,21,24,27,30}
{0,3,6,15,18,21,24,27,30}
{0,3,9,12,18,21,24,27,30}
{0,3,19,22,24,25,27,28,30}
{0,4,16,18,22,24,26,28,30}
{0,4,19,22,23,26,27,28,30}
gcd_rinsed ones: 
{0,1,21,22,23,24,28,29,30}
-1
