Bad ones for codimension c = 6 up to max degree d = 30
{0,4,11,57,83,86}
{0,4,15,57,83,86}
{0,4,16,47,83,89}
{0,4,16,62,83,89}
{0,4,17,71,83,90}
{0,4,19,37,83,86}
{0,4,22,41,83,89}
{0,4,22,43,83,89}
{0,4,22,46,83,89}
{0,4,23,53,87,90}
{0,4,23,65,87,90}
{0,4,23,71,82,85}
{0,4,27,33,86,89}
{0,4,27,53,86,87}
{0,4,27,57,83,86}
{0,4,27,57,86,89}
{0,4,27,61,83,86}
{0,4,29,37,83,86}
{0,4,29,42,83,89}
{0,4,29,57,83,89}
{0,4,29,61,83,89}
{0,4,31,42,83,89}
{0,4,31,46,83,89}
{0,4,31,61,83,89}
{0,4,33,71,83,89}
{0,4,35,57,83,86}
{0,4,37,53,83,89}
{0,4,37,57,83,86}
{0,4,37,58,83,89}
{0,4,37,62,83,89}
{0,4,39,71,83,89}
{0,4,40,48,84,88}
{0,4,41,53,79,87}
{0,4,41,53,79,89}
{0,4,41,57,83,89}
{0,4,41,57,83,90}
{0,4,41,63,87,89}
{0,4,41,65,87,90}
{0,4,41,67,79,89}
{0,4,42,71,83,89}
{0,4,43,61,83,89}
{0,4,43,62,83,89}
{0,4,46,57,83,89}
{0,4,46,59,83,89}
{0,4,57,63,86,89}
{0,5,17,46,79,89}
{0,5,17,46,83,89}
{0,5,22,46,83,89}
{0,5,22,53,79,89}
{0,5,26,43,79,87}
{0,6,13,43,79,89}
{0,6,13,59,79,89}
{0,6,13,67,85,89}
{0,6,17,43,79,89}
{0,6,17,47,79,89}
{0,6,17,49,79,89}
{0,6,17,53,79,89}
{0,6,18,37,79,89}
{0,6,18,47,79,89}
{0,6,18,47,85,89}
{0,6,19,43,87,89}
{0,6,19,67,79,89}
{0,6,20,53,79,87}
{0,6,20,53,79,89}
{0,6,22,43,79,89}
{0,6,22,53,79,89}
{0,6,22,53,82,89}
{0,6,22,58,79,89}
{0,6,22,59,79,89}
{0,6,22,59,85,89}
{0,6,23,32,79,89}
{0,6,23,37,79,89}
{0,6,23,47,79,89}
{0,6,23,53,79,82}
{0,6,23,53,79,89}
{0,6,23,53,82,89}
{0,6,23,59,79,89}
{0,6,23,67,79,89}
{0,6,23,73,82,89}
{0,6,25,37,79,89}
{0,6,25,43,85,89}
{0,6,25,53,79,89}
{0,6,25,58,79,89}
{0,6,25,67,85,89}
{0,6,25,68,79,89}
{0,6,26,67,79,89}
{0,6,27,38,79,89}
{0,6,27,43,79,89}
{0,6,27,53,85,89}
{0,6,27,59,79,89}
{0,6,28,37,85,89}
{0,6,28,43,79,89}
{0,6,28,47,79,89}
{0,6,28,53,79,89}
{0,6,28,59,79,89}
{0,6,28,59,85,89}
{0,6,29,37,79,88}
{0,6,29,37,79,89}
{0,6,29,43,79,82}
{0,6,29,47,79,83}
{0,6,29,49,79,88}
{0,6,29,53,79,89}
{0,6,29,57,79,89}
{0,6,29,62,79,89}
{0,6,29,63,79,89}
{0,6,29,67,79,88}
{0,6,29,67,80,88}
{0,6,29,67,80,89}
{0,6,29,68,79,89}
{0,6,29,73,82,89}
{0,6,31,52,79,89}
{0,6,31,53,79,82}
{0,6,31,53,79,89}
{0,6,31,67,82,89}
{0,6,31,71,82,89}
{0,6,32,43,79,89}
{0,6,32,43,85,89}
{0,6,32,59,79,89}
{0,6,32,61,79,89}
{0,6,32,67,79,89}
{0,6,32,67,85,89}
{0,6,32,68,79,89}
{0,6,33,59,79,89}
{0,6,33,67,79,86}
{0,6,35,53,79,89}
{0,6,35,73,85,89}
{0,6,37,47,85,89}
{0,6,37,53,79,82}
{0,6,37,53,79,87}
{0,6,37,53,79,89}
{0,6,37,53,82,89}
{0,6,37,57,79,89}
{0,6,37,59,79,89}
{0,6,37,59,82,89}
{0,6,37,64,79,89}
{0,6,37,67,82,89}
{0,6,38,52,79,89}
{0,6,38,53,79,89}
{0,6,38,59,79,89}
{0,6,38,61,79,89}
{0,6,38,67,81,89}
{0,6,38,77,79,89}
{0,6,40,67,79,89}
{0,6,41,52,79,89}
{0,6,43,47,81,89}
{0,6,43,53,85,89}
{0,6,43,57,79,89}
{0,6,43,58,79,89}
{0,6,43,59,85,89}
{0,6,43,59,87,89}
{0,6,43,64,79,89}
{0,6,43,65,85,89}
{0,6,43,67,81,89}
{0,6,43,67,82,89}
{0,6,43,67,84,89}
{0,6,43,68,79,89}
{0,6,43,73,82,89}
{0,6,43,73,85,89}
{0,6,43,73,87,89}
{0,6,43,77,79,89}
{0,6,43,77,81,89}
{0,6,43,79,82,89}
{0,6,47,58,81,89}
{0,6,47,58,85,89}
{0,6,47,59,79,89}
{0,6,47,59,83,85}
{0,6,47,59,85,89}
{0,6,47,65,85,89}
{0,6,47,67,79,89}
{0,6,47,67,85,89}
{0,6,47,73,81,89}
{0,6,47,73,85,89}
{0,6,48,67,79,89}
{0,6,49,67,79,89}
{0,6,52,68,79,89}
{0,6,52,73,85,89}
{0,6,53,65,82,89}
{0,6,53,67,79,87}
{0,6,53,67,79,89}
{0,6,53,67,85,89}
{0,6,53,77,79,89}
{0,6,58,67,79,89}
{0,7,11,58,83,89}
{0,7,13,53,86,89}
{0,7,15,53,86,89}
{0,7,16,46,83,89}
{0,7,17,46,83,89}
{0,7,18,57,86,89}
{0,7,20,58,80,89}
{0,7,22,31,83,89}
{0,7,22,46,83,89}
{0,7,22,53,83,89}
{0,7,22,59,83,89}
{0,7,24,53,86,89}
{0,7,29,46,83,89}
{0,7,29,60,86,90}
{0,7,30,59,81,83}
{0,7,31,53,83,89}
{0,7,31,74,83,89}
{0,7,33,74,80,86}
{0,7,33,74,86,90}
{0,7,34,53,82,86}
{0,7,36,66,83,89}
{0,7,36,67,83,89}
{0,7,37,71,83,89}
{0,7,43,58,83,89}
{0,7,46,71,83,89}
{0,7,46,73,83,89}
{0,7,46,79,83,89}
{0,7,58,71,83,89}
{0,8,17,67,79,86}
{0,8,19,61,81,87}
{0,8,19,67,81,87}
{0,8,22,46,83,89}
{0,8,22,59,79,89}
{0,8,25,67,86,89}
{0,8,26,67,79,89}
{0,8,29,46,79,89}
{0,8,31,42,83,89}
{0,8,33,67,79,86}
{0,8,34,46,81,87}
{0,8,34,49,81,87}
{0,8,34,67,81,87}
{0,8,37,61,83,89}
{0,8,38,67,79,89}
{0,8,49,61,81,87}
{0,9,26,67,79,83}
{0,9,36,54,81,90}
{0,10,21,37,83,89}
{0,10,21,53,83,89}
{0,10,21,57,83,89}
{0,10,22,41,83,89}
{0,10,22,46,83,89}
{0,10,22,51,83,89}
{0,10,23,47,81,89}
{0,10,23,51,81,89}
{0,10,23,51,83,89}
{0,10,27,57,83,89}
{0,10,27,63,86,89}
{0,10,31,43,83,89}
{0,10,31,47,83,89}
{0,10,31,64,83,89}
{0,10,31,67,83,89}
{0,10,31,71,83,89}
{0,10,32,71,83,89}
{0,10,33,57,83,89}
{0,10,33,71,83,89}
{0,10,36,67,83,89}
{0,10,37,58,83,89}
{0,10,37,61,83,89}
{0,10,37,67,83,89}
{0,10,39,47,83,89}
{0,10,39,51,83,89}
{0,10,39,71,83,89}
{0,10,41,47,79,83}
{0,10,41,53,87,89}
{0,10,42,71,83,89}
{0,10,43,47,81,89}
{0,10,43,71,83,89}
{0,10,46,57,83,89}
{0,10,46,67,83,89}
{0,10,47,67,83,89}
{0,10,47,69,81,89}
{0,10,47,69,83,86}
{0,10,49,71,83,89}
{0,10,51,63,83,89}
{0,10,51,69,83,89}
{0,12,17,53,79,86}
{0,12,25,59,83,86}
{0,12,29,61,83,86}
{0,12,31,46,83,89}
{0,12,31,49,79,83}
{0,12,31,61,79,83}
{0,12,38,71,79,85}
{0,12,41,59,79,83}
{0,12,41,73,79,86}
{0,12,46,65,83,89}
{0,12,68,72,80,84}
{0,13,42,59,86,89}
{0,14,31,67,79,89}
{0,14,37,61,81,87}
{0,14,43,67,79,89}
{0,15,28,62,86,89}
{0,15,29,52,86,88}
{0,16,38,69,87,89}
{0,16,42,59,83,89}
{0,18,31,59,79,89}
{0,18,31,67,79,89}
{0,18,37,59,79,89}
{0,18,63,72,81,90}
{0,20,50,70,80,90}
{0,21,46,57,83,89}
{0,22,31,43,83,89}
{0,22,31,73,83,89}
{0,22,36,51,83,89}
{0,22,41,53,87,89}
{0,22,46,71,83,89}
{0,22,51,63,83,89}
{0,22,51,65,83,89}
{0,22,51,71,83,89}
gcd_rinsed ones: 
{0,1,9,62,83,87}
{0,1,10,47,83,89}
{0,1,12,48,79,86}
{0,1,12,54,80,83}
{0,1,12,59,83,86}
{0,1,12,59,83,90}
{0,1,14,33,83,87}
{0,1,14,51,83,87}
{0,1,14,68,83,87}
{0,1,14,75,83,87}
{0,1,17,54,83,90}
{0,1,17,74,83,87}
{0,1,18,47,79,89}
{0,1,19,47,83,86}
{0,1,19,50,83,87}
{0,1,19,62,83,88}
{0,1,20,54,80,87}
{0,1,20,68,79,82}
{0,1,22,47,79,83}
{0,1,22,59,79,83}
{0,1,22,59,83,86}
{0,1,22,74,83,86}
{0,1,23,62,83,87}
{0,1,24,32,83,90}
{0,1,24,62,83,88}
{0,1,24,62,83,90}
{0,1,24,68,83,87}
{0,1,24,72,83,86}
{0,1,25,52,83,89}
{0,1,25,59,82,89}
{0,1,25,62,83,89}
{0,1,26,47,83,87}
{0,1,26,63,83,87}
{0,1,27,68,87,89}
{0,1,29,38,79,89}
{0,1,30,37,83,89}
{0,1,30,47,79,83}
{0,1,30,47,83,89}
{0,1,30,57,83,89}
{0,1,30,65,83,89}
{0,1,30,69,83,89}
{0,1,31,46,83,89}
{0,1,31,47,83,89}
