{0,8,20,36,48,56}
{0,8,44,48,52,60}
{0,10,20,30,50,60}
{0,10,20,40,50,60}
{0,10,30,40,50,60}
{0,11,22,33,44,55}
{0,12,16,40,44,56}
{0,12,18,42,48,60}
{0,12,24,36,48,60}
{0,12,42,48,54,60}
{0,5,49,50,54,55}
{0,4,12,52,60,64}
{0,4,20,44,60,64}
{0,4,28,36,60,64}
{0,4,52,56,60,64}
{0,5,25,35,55,60}
{0,5,45,50,55,60}
{0,6,24,36,54,60}
{0,8,16,24,56,64}
{0,8,24,40,56,64}
{0,8,40,48,56,64}
{0,8,44,48,52,60}
{0,9,18,45,54,63}
{0,9,51,54,60,63}
{0,10,20,30,50,60}
{0,10,20,40,50,60}
{0,10,22,42,54,64}
{0,10,30,40,50,60}
{0,12,18,42,48,60}
{0,12,24,36,48,60}
{0,12,42,48,54,60}
{0,13,26,39,52,65}
{0,14,35,49,56,63}
{0,16,44,56,60,64}
{0,2,32,36,66,68}
{0,3,30,36,63,66}
{0,7,28,42,63,70}
{0,8,26,42,60,68}
{0,10,20,50,60,70}
{0,10,25,45,60,70}
{0,10,54,64,66,70}
{0,11,22,33,55,66}
{0,11,22,44,55,66}
{0,11,33,44,55,66}
{0,12,21,45,54,66}
{0,13,26,39,52,65}
{0,14,20,48,54,68}
{0,14,21,49,56,70}
{0,14,28,42,56,70}
{0,14,49,56,63,70}
{0,15,20,50,55,70}
{0,15,55,63,64,70}
{0,6,30,42,66,72}
{0,6,48,66,70,72}
{0,6,54,60,66,72}
{0,7,28,42,63,70}
{0,9,18,27,63,72}
{0,9,27,45,63,72}
{0,9,45,54,63,72}
{0,10,20,50,60,70}
{0,10,25,45,60,70}
{0,10,54,64,66,70}
{0,10,55,60,65,75}
{0,12,24,36,60,72}
{0,12,24,48,60,72}
{0,12,36,48,60,72}
{0,14,21,49,56,70}
{0,14,28,42,56,70}
{0,14,49,56,63,70}
{0,15,20,50,55,70}
{0,15,30,45,60,75}
{0,15,55,63,64,70}
{0,15,57,60,63,72}
{0,16,40,56,64,72}
{0,16,60,66,70,72}
{0,18,54,60,63,72}
{0,5,15,65,75,80}
{0,5,25,55,75,80}
{0,5,35,45,75,80}
{0,5,65,70,75,80}
{0,6,33,45,72,78}
{0,7,70,71,72,78}
{0,8,32,48,72,80}
{0,10,20,30,70,80}
{0,10,28,48,66,76}
{0,10,30,50,70,80}
{0,10,50,60,70,80}
{0,10,55,60,65,75}
{0,11,22,55,66,77}
{0,12,72,75,77,78}
{0,13,26,39,65,78}
{0,13,26,52,65,78}
{0,13,39,52,65,78}
{0,14,26,54,66,80}
{0,15,24,54,63,78}
{0,15,30,45,60,75}
{0,16,22,54,60,76}
{0,16,24,56,64,80}
{0,16,32,48,64,80}
{0,16,56,64,72,80}
