Bad ones for codimension c = 8 up to max degree d = 36
{0,1,15,16,17,19,20,35,36}
{0,1,16,17,19,20,21,35,36}
{0,1,16,18,25,28,33,34,36}
{0,1,28,29,30,33,34,35,36}
{0,2,18,20,26,28,32,34,36}
{0,2,20,22,24,26,28,34,36}
{0,2,20,26,28,30,32,34,36}
{0,3,6,9,12,15,21,33,36}
{0,3,6,9,12,15,27,33,36}
{0,3,6,9,12,15,30,33,36}
{0,3,6,9,12,24,30,33,36}
{0,3,6,9,12,27,30,33,36}
{0,3,6,9,15,24,27,33,36}
{0,3,6,9,24,27,30,33,36}
{0,3,6,12,24,27,30,33,36}
{0,3,6,21,24,27,30,33,36}
{0,3,9,12,15,21,24,33,36}
{0,3,9,12,21,27,30,33,36}
{0,3,9,21,24,27,30,33,36}
{0,3,12,15,21,24,27,33,36}
{0,3,15,21,24,27,30,33,36}
{0,4,8,12,16,20,28,32,36}
{0,4,8,16,20,24,28,32,36}
{0,4,14,22,26,28,30,32,36}
{0,4,22,24,26,28,30,32,36}
{0,6,20,22,26,28,30,32,36}
gcd_rinsed ones: 
{0,1,15,16,17,19,20,35,36}
{0,1,16,17,19,20,21,35,36}
{0,1,28,29,30,33,34,35,36}
-1
